query_id,document_id,split,analysis_set,question,evidence_set_count,evidence_paragraph_count,evidence_section_count,evidence_section_headings,query_type,coding_notes
2ca3ca39d59f448e30be6798514709be7e3c62d8,1603.01547,test,cross_model_core,Which datasets did they use to train the model?,2,3,2,Datasets | Evaluation Method,,
df7fb8e6e44c9c5af3f19dde762c75cbf2f8452f,1603.01547,test,cross_model_core,What is the performance of their model?,2,3,1,Results,,
20e2b517fddb0350f5099c39b16c2ca66186d09b,1603.01547,test,cross_model_core,What baseline do they compare against?,1,6,6,Attentive and Impatient Readers | Chen et al. 2016 | Datasets | Dynamic Entity Representation | Memory Networks | Related Work,,
70512cc9dcd45157e40c8d1f85e82d21ade7645b,1603.01547,test,cross_model_core,What datasets is the model evaluated on?,3,4,3,Datasets | Evaluation | Evaluation Method,,
415014a5bcd83df52c9307ad16fab1f03d80f705,1605.05156,test,cross_model_core,What syntactic and semantic features are proposed?,2,12,2,Semantic Features | Syntactic Features,,
b79c85fa84712d3028cb5be2af873c634e51140e,1605.05156,test,cross_model_core,Which six speech acts are included in the taxonomy?,1,1,1,Problem Statement,,
dc473819b196c0ea922773e173a6b283fa778791,1605.05156,test,cross_model_core,what classifier had better performance?,2,2,1,Supervised Speech Act Classifier,,
9207f19e65422bdf28f20e270ede6c725a38e5f9,1605.05156,test,cross_model_core,how many tweets were labeled?,2,2,1,Data Collection and Datasets,,
8ddf78dbdc6ac964a7102ae84df18582841f2e3c,1605.05156,test,cross_model_core,how many annotators were there?,1,1,1,Data Collection and Datasets,,
079e654c97508c521c07ab4d24cdaaede5602c61,1605.05156,test,cross_model_core,who labelled the tweets?,1,1,1,Data Collection and Datasets,,
7efbd9adbc403de4be6b1fb1999dd5bed9d6262c,1605.05156,test,cross_model_core,what are the proposed semantic features?,2,7,2,Features | Semantic Features,,
95bbd91badbfe979899cca6655afc945ea8a6926,1605.05156,test,cross_model_core,what syntactic features are proposed?,2,8,3,Features | Semantic Features | Syntactic Features,,
76ae794ced3b5ae565f361451813f2f3bc85b214,1605.05156,test,cross_model_core,what datasets were used?,2,7,3,Data Collection and Datasets | Features | Semantic Features,,
6157567c5614e1954b801431fec680f044e102c6,1610.03807,test,cross_model_core,Was the filtering based on fluency and domain relevance done automatically?,2,5,1,Question expansion and selection,,
