review_id,query_id,document_id,include,joint_evidence_required,duplicate_support,section_mapping_valid,answerable_from_evidence,rejection_reason,reviewer_notes,eligibility_group,candidate_status,in_cross_model_complete,in_cross_model_unseen,in_granite_extension,title,question
CSQ-001,8e9561541f2e928eb239860c2455a254b5aceaeb,1906.01502,no,no,no,yes,yes,one_section_is_actually_sufficient,Exact affected language-pair examples are contained in the cross-script section; the introduction and typology paragraph add context rather than jointly necessary evidence.,cross_model_core,new_test_candidate,True,True,False,How multilingual is Multilingual BERT?,What language pairs are affected?
CSQ-002,d1d59bca40b8b308c0a35fed1b4b7826c85bc9f8,1808.10290,no,no,yes,yes,yes,one_section_is_actually_sufficient,The introduction alone states that three target languages are used; the data paragraph only confirms the four-language parallel corpus.,cross_model_core,already_in_current_experiment,True,False,False,Acquiring Annotated Data with Cross-lingual Explicitation for Implicit Discourse Relation Classification,How many languages do they at most attempt to use to generate discourse relation labelled data?
CSQ-003,55bafa0f7394163f4afd1d73340aac94c2d9f36c,1603.00957,no,no,no,yes,yes,one_section_is_actually_sufficient,The Training and Evaluation Data paragraph identifies WebQuestions as the experimental dataset; the additional paragraph is only a section overview or general paper summary.,cross_model_core,new_test_candidate,True,True,False,Question Answering on Freebase via Relation Extraction and Textual Evidence,Are experiments conducted on multiple datasets?
CSQ-004,780c7993d446cd63907bb38992a60bbac9cb42b1,1909.09070,no,no,no,yes,no,ambiguous_or_unsupported_question,"The evidence mentions English Wikipedia and semantic resources, but does not directly establish the language of the scientific captions.",granite_extended,new_test_candidate,False,False,True,"Look, Read and Enrich - Learning from Scientific Figures and their Captions",What language are the captions in?
CSQ-005,2ddfb40a9e73f382a2eb641c8e22bbb80cef017b,1906.01502,yes,yes,no,yes,yes,,"The complete dataset list is distributed across NER, POS-tagging and experimental-setup sections (CoNLL/in-house, UD and WMT16).",cross_model_core,new_test_candidate,True,True,False,How multilingual is Multilingual BERT?,What datasets did they use?
CSQ-006,415014a5bcd83df52c9307ad16fab1f03d80f705,1605.05156,yes,yes,no,yes,yes,,"The question explicitly asks for both semantic and syntactic feature families, which are enumerated in separate sections.",cross_model_core,new_test_candidate,True,True,False,Tweet Acts: A Speech Act Classifier for Twitter,What syntactic and semantic features are proposed?
CSQ-007,b6e97d1b1565732b1b3f1d74e6d2800dd21be37a,1707.05589,yes,yes,no,yes,yes,,The reported state-of-the-art results cover separate Penn Treebank and Wikitext-2 result sections; both are needed for the plural result request.,cross_model_core,new_test_candidate,True,True,False,On the State of the Art of Evaluation in Neural Language Models,what was their newly established state of the art results?
CSQ-008,ab37ae82e38f64d3fa95782f2c791488f26cd43f,1612.03762,no,no,no,yes,no,ambiguous_or_unsupported_question,"The passages report the length-related performance pattern and methodological caveats, but do not give a clear causal hypothesis for why short descriptions perform better.",granite_extended,new_test_candidate,False,False,True,From narrative descriptions to MedDRA: automagically encoding adverse drug reactions,Do the authors offer a hypothesis as to why the system performs better on short descriptions than longer ones?
CSQ-009,cfdd583d01abaca923f5c466bb20e1d4b8c749ff,1810.02268,yes,yes,no,yes,yes,,The experimented context-aware systems include distinct recurrent and Transformer model families described in separate sections.,cross_model_core,already_in_current_experiment,True,False,False,A Large-Scale Test Set for the Evaluation of Context-Aware Pronoun Translation in Neural Machine Translation,what context aware models were experimented?
CSQ-010,ccec4f8deff651858f44553f8daa5a19e8ed8d3b,1909.05190,yes,yes,no,yes,yes,,"The paper uses several datasets for representation learning and evaluation, and the complete list is distributed across the commonsense-representation and experiments sections.",cross_model_core,new_test_candidate,True,True,False,Event Representation Learning Enhanced with External Commonsense Knowledge,What are the datasets used in the paper?
CSQ-011,5d790459b05c5a3e6f1e698824444e55fc11890c,1911.01770,no,no,no,yes,yes,one_section_is_actually_sufficient,The introduction describes the two prior recipe-retrieval methods; the method and evaluation paragraphs are not needed to identify them.,cross_model_core,new_test_candidate,True,True,False,Self-Attention and Ingredient-Attention Based Model for Recipe Retrieval from Image Queries,What are two baseline methods?
CSQ-012,8ad5ebca2f69023b60ccfa3aac0ed426234437ac,1911.02747,no,no,yes,yes,yes,one_section_is_actually_sufficient,The introduction already states that the model is compared with baselines; the experiments paragraph provides additional baseline detail.,cross_model_core,new_test_candidate,True,True,False,Query-bag Matching with Mutual Coverage for Information-seeking Conversations in E-commerce,Is model compared to some baseline?
CSQ-013,72c04eb3fc323c720f7f8da75c70f09a35abf3e6,1806.06571,no,no,no,yes,yes,one_section_is_actually_sufficient,The result paragraph alone reports the observed gain (42.5% versus 42.3%); the remaining passages describe the model and evaluation setup.,cross_model_core,new_test_candidate,True,True,False,SubGram: Extending Skip-gram Word Representation with Substrings,How much were the gains they obtained?
CSQ-014,42279c3a202a93cfb4aef49212ccaf401a3f8761,1803.05160,no,no,yes,yes,yes,one_section_is_actually_sufficient,All three sequential-validation variants are explicitly listed in the Estimation procedures section; the abstract and introduction repeat only the category count.,granite_extended,new_test_candidate,False,False,True,How to evaluate sentiment classifiers for Twitter time-ordered data?,Which three variants of sequential validation are examined?
CSQ-015,ebe1084a06abdabefffc66f029eeb0b69f114fd9,1810.02268,yes,yes,no,yes,yes,,"The baseline set includes both recurrent and Transformer baselines, so evidence from both model-family sections is required.",cross_model_core,already_in_current_experiment,True,False,False,A Large-Scale Test Set for the Evaluation of Context-Aware Pronoun Translation in Neural Machine Translation,what are the baselines?
CSQ-016,e0b8a2649e384bbdb17472f8da2c3df4134b1e57,1707.07568,yes,yes,no,yes,yes,,"Dataset construction combines tweet collection/splitting and entity annotation, documented in separate sections.",cross_model_core,new_test_candidate,True,True,False,CAp 2017 challenge: Twitter Named Entity Recognition,What data preparation steps were used to construct the dataset?
CSQ-017,101d7a355e8bf6d1860917876ee0b9971eae7a2f,1611.04887,no,no,no,yes,no,ambiguous_or_unsupported_question,The supplied passages describe representation models but do not establish whether reported results are exclusively English.,cross_model_core,new_test_candidate,True,True,False,Interpreting the Syntactic and Social Elements of the Tweet Representations via Elementary Property Prediction Tasks,Do they report results only for English data?
CSQ-018,1128a600a813116cba9a2cf99d8568ae340f327a,1802.08969,yes,yes,no,yes,yes,,The experiments use different datasets for text classification and sequence tagging; both experiment sections are needed for the full answer.,granite_extended,new_test_candidate,False,False,True,Meta Multi-Task Learning for Sequence Modeling,What datasets do they use in the experiment?
CSQ-019,5ed02ae6c534cd49d405489990f0e4ba0330ff1b,2004.04124,no,no,no,yes,no,ambiguous_or_unsupported_question,"The evidence describes the teacher-student pipeline and performance against similarly sized baselines, but does not directly show whether LadaBERT exceeds its distillation teacher on any task.",cross_model_core,new_test_candidate,True,True,False,LadaBERT: Lightweight Adaptation of BERT through Hybrid Model Compression,Does LadaBERT ever outperform its knowledge destilation teacher in terms of accuracy on some problems?
CSQ-020,95bbd91badbfe979899cca6655afc945ea8a6926,1605.05156,no,no,no,yes,yes,one_section_is_actually_sufficient,The proposed syntactic features are fully enumerated in the Syntactic Features section; the general Features paragraph is introductory.,cross_model_core,new_test_candidate,True,True,False,Tweet Acts: A Speech Act Classifier for Twitter,what syntactic features are proposed?
CSQ-021,cfc73e0c82cf1630b923681c450a541a964688b9,1804.01155,yes,yes,no,yes,yes,,Operationalisation requires linking inferred Twitter home locations to INSEE socioeconomic indicators and assigning those indicators back to users across three sections.,granite_extended,new_test_candidate,False,False,True,Socioeconomic Dependencies of Linguistic Patterns in Twitter: A Multivariate Analysis,How do they operationalize socioeconomic status from twitter user data?
CSQ-022,fe7f7bcf37ca964b4dc9e9c7ebf35286e1ee042b,1805.09821,no,no,yes,yes,yes,one_section_is_actually_sufficient,"The corpus-size comparison with prior 1,000-example work is already stated in the corpus description; the conclusion repeats the broader extension claim.",cross_model_core,new_test_candidate,True,True,False,A Corpus for Multilingual Document Classification in Eight Languages,What is the difference in size compare to the previous model?
CSQ-023,a3a867f7b3557c168d05c517c468ff6c7337bff9,1701.03578,yes,yes,no,yes,yes,,"The experiments use WMT14, Friends and English Bible data across different transfer-learning scenarios, so no one section supplies the complete dataset list.",cross_model_core,new_test_candidate,True,True,False,Efficient Transfer Learning Schemes for Personalized Language Modeling using Recurrent Neural Network,What dataset did they use?
CSQ-024,860257956b83099cccf1359e5d960289d7d50265,1702.02367,no,no,no,yes,yes,one_section_is_actually_sufficient,The encoding-phase paragraph already identifies the bidirectional recurrent architecture with GRU units; the inference paragraph adds another GRU state but is not necessary to name the architecture.,cross_model_core,new_test_candidate,True,True,False,Iterative Multi-document Neural Attention for Multiple Answer Prediction,Which neural network architecture do they use?
CSQ-025,20e2b517fddb0350f5099c39b16c2ca66186d09b,1603.01547,yes,yes,no,yes,yes,,The comparison set spans several distinct reader and memory-network architectures presented in separate related-work sections.,cross_model_core,new_test_candidate,True,True,False,Text Understanding with the Attention Sum Reader Network,What baseline do they compare against?
CSQ-026,50c1bf8b928069f3ffc7f0cb00aa056a163ef336,1906.01502,yes,yes,no,yes,yes,,"The evaluation uses NER F1, POS accuracy and nearest-neighbour accuracy in different experiment sections.",cross_model_core,new_test_candidate,True,True,False,How multilingual is Multilingual BERT?,What evaluation metrics are used?
CSQ-027,a222dc5d804a7b453a0f7fbc1d6c1b165a3ccdd6,1911.01248,no,no,no,yes,yes,one_section_is_actually_sufficient,The introduction directly defines the Semantic Web; the OWL and RDF background paragraphs elaborate its technologies.,granite_extended,new_test_candidate,False,False,True,A Holistic Natural Language Generation Framework for the Semantic Web,What is the Semantic Web?
CSQ-028,6c4e1a1ccc0c5c48115864a6928385c248f4d8ad,1612.02695,yes,yes,no,yes,yes,,The proposed remedies address separate shortcomings: label smoothing for overconfidence and decoding/coverage strategies for partial transcripts.,cross_model_core,new_test_candidate,True,True,False,Towards better decoding and language model integration in sequence to sequence models,What are the solutions proposed for the seq2seq shortcomings?
CSQ-029,1a1d94c981c58e2f2ee18bdfc4abc69fd8f15e14,1911.12848,yes,yes,no,yes,yes,,The review covers a wider set of languages than the introductory examples; the complete language coverage is distributed across the survey sections.,granite_extended,new_test_candidate,False,False,True,Sentiment Analysis On Indian Indigenous Languages: A Review On Multilingual Opinion Mining,Which languages do they explore?
CSQ-030,aa287673534fc05d8126c8e3486ca28821827034,1607.00167,no,no,yes,yes,yes,one_section_is_actually_sufficient,The Portuguese sentiment lexicon or Portuguese preprocessing evidence alone is sufficient to identify the tweet language; the sections provide repeated cues.,cross_model_core,new_test_candidate,True,True,False,SentiBubbles: Topic Modeling and Sentiment Visualization of Entity-centric Tweets,What language are the tweets in?
CSQ-031,18fbfb1f88c5487f739aceffd23210a7d4057145,1907.05338,yes,yes,no,yes,yes,,"Different comparison models are used for sequence labelling, text classification and semantic similarity, requiring all three experiment sections.",cross_model_core,new_test_candidate,True,True,False,To Tune or Not To Tune? How About the Best of Both Worlds?,what models did they compare with?
CSQ-032,5d3e87937ecebf0695bece08eccefb2f88ad4a0f,1907.05338,yes,yes,no,yes,yes,,"The test datasets are CoNLL03, Yahoo Answers and Quora Question Pairs, each reported in a separate experiment section.",cross_model_core,new_test_candidate,True,True,False,To Tune or Not To Tune? How About the Best of Both Worlds?,what datasets were used for testing?
CSQ-033,a0197894ee94b01766fa2051f50f84e16b5c9370,1606.07947,no,no,yes,yes,no,ambiguous_or_unsupported_question,"The passages show that greedy decoding is faster with comparable performance, but do not explain why it works better than beam search.",cross_model_core,new_test_candidate,True,True,False,Sequence-Level Knowledge Distillation,Do they reason why greedy decoding works better then beam search?
CSQ-034,97708d93bccc832ea671dc31a76dad6a121fcd60,1707.06875,yes,yes,no,yes,yes,,The considered measures include word-overlap/semantic metrics and grammar-based readability/grammaticality metrics across separate sections.,cross_model_core,new_test_candidate,True,True,False,Why We Need New Evaluation Metrics for NLG,Which metrics were considered?
CSQ-035,b9a3836cff16af7454c7a8b0e5ff90206d0db1f5,1710.06923,no,no,no,yes,no,ambiguous_or_unsupported_question,The evidence reports improvements within Evo-Devo and machine-learning experiments but does not provide a valid overall comparison identifying the best adaptation method.,cross_model_core,new_test_candidate,True,True,False,Adapting general-purpose speech recognition engine output for domain-specific natural language question answering,Which of their proposed domain adaptation methods proves best overall?
CSQ-036,4367617c0b8c9f33051016e8d4fbb44831c54d0f,1902.10246,no,no,no,yes,yes,one_section_is_actually_sufficient,The introduction identifies the recent pretrained-LSTM approach as the state-of-the-art model; the results paragraph only discusses corpus-size comparability.,cross_model_core,new_test_candidate,True,True,False,Fixed-Size Ordinally Forgetting Encoding Based Word Sense Disambiguation,What is the state-of-the-art model?
CSQ-037,6c50871294562e4886ede804574e6acfa8d1a5f9,1708.05521,no,no,no,yes,yes,one_section_is_actually_sufficient,"The Results and Discussion paragraph alone gives the overall development/test outcome; emotion-specific sections provide a different, more detailed analysis.",cross_model_core,new_test_candidate,True,True,False,EmoAtt at EmoInt-2017: Inner attention sentence embedding for Emotion Intensity,what was their result?
CSQ-038,a1a0365bf6968cbdfd1072cf3923c26250bc955c,1803.08419,yes,yes,no,yes,yes,,The review contrasts sequence-to-sequence neural dialogue models with dialogue-level language-model approaches in separate sections.,granite_extended,already_in_current_experiment,False,False,True,The Rapidly Changing Landscape of Conversational Agents,What type of neural models are used?
CSQ-039,30870a962cf88ac8c8e6b7b795936fd62214f507,1709.06136,yes,yes,no,yes,yes,,The question asks about both the dialog agent and user simulator; separate sections confirm that each maintains state with an LSTM.,cross_model_core,new_test_candidate,True,True,False,Iterative Policy Learning in End-to-End Trainable Task-Oriented Neural Dialog Models,Which neural network architecture do they use for the dialog agent and user simulator?
CSQ-040,c53b036eff430a9d0449fb50b8d2dc9d2679d9fe,1706.02222,no,no,yes,yes,yes,one_section_is_actually_sufficient,"The conclusion alone reports all character- and word-level absolute and relative improvements, duplicating the task-specific result sections.",granite_extended,new_test_candidate,False,False,True,Gated Recurrent Neural Tensor Network,How much improvement do the introduced model achieve compared to the previous models?
CSQ-041,4999da863ecbd40378505bfb1f4e395061a3f559,1911.06919,yes,yes,no,yes,yes,,The two downstream tasks use CNN/DailyMail and US Petition data in separate task sections; both are required for the plural dataset request.,cross_model_core,new_test_candidate,True,True,False,Improved Document Modelling with a Neural Discourse Parser,What datasets are used for this tasks?
CSQ-042,d147117ef24217c43252d917d45dff6e66ff807c,1712.00733,no,no,no,yes,yes,one_section_is_actually_sufficient,The proposal paragraph alone explains the external-knowledge representation: KG triples are embedded in a shared continuous space with an RNN; the overview adds retrieval/source detail.,granite_extended,new_test_candidate,False,False,True,Incorporating External Knowledge to Answer Open-Domain Visual Questions with Dynamic Memory Networks,How do they model external knowledge?
CSQ-043,1e11e74481ead4b7635922bbe0de041dc2dde28d,1610.03807,yes,yes,no,yes,yes,,"The two evaluations required separate hand-crafted template inventories (106 for Freebase and 163 for the domain KB), so both sections are needed.",cross_model_core,new_test_candidate,True,True,False,Question Generation from a Knowledge Base with Web Exploration,How many hand-crafted templates did they have to make?
CSQ-044,b0e894536857cb249bd75188c3ca5a04e49ff0b6,1906.01615,yes,yes,no,yes,yes,,"The comparison explicitly spans recurrent, attention and convolutional architectures, each characterised in a different section.",granite_extended,new_test_candidate,False,False,True,Sequential Neural Networks as Automata,"How do attention, recurrent and convolutional networks differ on the language classes they accept?"
CSQ-045,34b434825f0ca3225dc8914f9da865d2b4674f08,1912.08084,no,no,no,yes,yes,one_section_is_actually_sufficient,The related-work paragraph already states that ClaimBuster operates on sentences without context; the experimental baseline descriptions are not jointly necessary.,cross_model_core,new_test_candidate,True,True,False,A Context-Aware Approach for Detecting Check-Worthy Claims in Political Debates,Does the baseline use any contextual information?
CSQ-046,3098793595252039f363ee1150d4ea956f2504b8,1911.06919,no,no,no,yes,no,ambiguous_or_unsupported_question,The passages say both tasks improve but omit the numerical improvement magnitudes needed to answer 'how big'.,cross_model_core,new_test_candidate,True,True,False,Improved Document Modelling with a Neural Discourse Parser,How big are improvements on these tasks?
CSQ-047,d7e43a3db8616a106304ac04ba729c1fee78761d,1607.07514,no,no,no,yes,no,ambiguous_or_unsupported_question,"Both task sections state that Tweet2Vec outperforms prior systems but provide no numerical margin, so the requested amount is unsupported.",cross_model_core,new_test_candidate,True,True,False,Tweet2Vec: Learning Tweet Embeddings Using Character-level CNN-LSTM Encoder-Decoder,by how much did their system outperform previous tasks?
CSQ-048,23cbf6ab365c1eb760b565d8ba51fb3f06257d62,1910.02677,no,no,yes,yes,yes,one_section_is_actually_sufficient,The Experiments section itself enumerates the baseline systems; introduction and related-work passages repeat background categories.,cross_model_core,new_test_candidate,True,True,False,Controllable Sentence Simplification,What are the baseline models?
CSQ-049,cbb4eba59434d596749408be5b923efda7560890,1603.00957,no,no,no,yes,no,ambiguous_or_unsupported_question,"The evidence introduces the MCCNN relation extractor and reports end-to-end QA comparisons, but does not identify the extractor-specific baselines requested.",cross_model_core,new_test_candidate,True,True,False,Question Answering on Freebase via Relation Extraction and Textual Evidence,What baselines is the neural relation extractor compared to?
CSQ-050,22225ba18a6efe74b1315cc08405011d5431498e,1705.00571,no,no,yes,yes,yes,ambiguous_or_unsupported_question,The system uses embeddings trained on an external financial-news corpus but claims no company-specific knowledge; 'external financial knowledge' is ambiguous rather than a clean cross-section requirement.,cross_model_core,new_test_candidate,True,True,False,Lancaster A at SemEval-2017 Task 5: Evaluation metrics matter: predicting sentiment from financial news headlines,Do they use external financial knowledge in their approach?
CSQ-051,d0dc6729b689561370b6700b892c9de8871bb44d,1604.02201,no,no,yes,yes,yes,one_section_is_actually_sufficient,The introduction directly states the constraint: freeze selected parent parameters and fine-tune the rest; the transfer-learning section elaborates the same mechanism.,cross_model_core,new_test_candidate,True,True,False,Transfer Learning for Low-Resource Neural Machine Translation,How did they constrain training using the parameters?
CSQ-052,96356c1affc56178b3099ce4b4aece995032e0ff,1909.06708,no,no,no,yes,yes,one_section_is_actually_sufficient,The Experiments paragraph alone quantifies ART slowness through 30.2× or 17.8× NART speedups; the introduction supplies only qualitative motivation.,cross_model_core,already_in_current_experiment,True,False,False,Hint-Based Training for Non-Autoregressive Machine Translation,How slow is the unparallelizable ART model in the first place?
CSQ-053,c035a011b737b0a10deeafc3abe6a282b389d48b,1707.07212,yes,yes,no,yes,yes,,A complete description requires both the log-linear veridicality classifier and the feature-extraction templates provided in separate sections.,cross_model_core,already_in_current_experiment,True,False,False,"""i have a feeling trump will win.................."": Forecasting Winners and Losers from User Predictions on Twitter",What are the components of the classifier?
