document_id,split,title,character_count,section_count,paragraph_count,question_count,usable_question_count,granite_tokens,jina_tokens,eligibility_group,length_stratum,analysis_set
1610.09225,validation,Sentiment Analysis of Twitter Data for Predicting Stock Market Movements,17507,15,28,3,3,3413,3885,cross_model_core,length_1,cross_model_core
1702.06777,train,Dialectometric analysis of language variation in Twitter,17379,10,28,3,3,3410,4047,cross_model_core,length_1,cross_model_core
1703.10152,test,Automatic Argumentative-Zoning Using Word2vec,17118,13,43,6,6,3407,3986,cross_model_core,length_1,cross_model_core
1705.02023,test,Senti17 at SemEval-2017 Task 4: Ten Convolutional Neural Network Voters for Tweet Polarity Classification,9056,12,24,2,2,1914,2081,cross_model_core,length_1,cross_model_core
1706.00188,test,Deep Learning for Hate Speech Detection in Tweets,8690,6,16,4,4,1774,2124,cross_model_core,length_1,cross_model_core
1707.05236,validation,Artificial Error Generation with Machine Translation and Syntactic Patterns,14958,9,25,5,5,2820,3237,cross_model_core,length_1,cross_model_core
1708.03699,test,Improved Abusive Comment Moderation with User Embeddings,14533,8,36,1,1,3283,3833,cross_model_core,length_1,cross_model_core
1711.03759,test,YEDDA: A Lightweight Collaborative Text Span Annotation Tool,15249,9,33,3,3,2959,3518,cross_model_core,length_1,cross_model_core
1712.05608,validation,A Novel Approach for Effective Learning in Low Resourced Scenarios,13037,8,25,4,3,2849,3205,cross_model_core,length_1,cross_model_core
1802.05322,train,Classifying movie genres by analyzing text reviews,15138,15,93,3,3,3276,3604,cross_model_core,length_1,cross_model_core
1803.02914,test,Translating Questions into Answers using DBPedia n-triples,17065,14,28,1,1,3392,3975,cross_model_core,length_1,cross_model_core
1806.03191,train,Hearst Patterns Revisited: Automatic Hypernym Detection from Large Text Corpora,16479,11,30,3,3,3552,4138,cross_model_core,length_1,cross_model_core
1808.10290,test,Acquiring Annotated Data with Cross-lingual Explicitation for Implicit Discourse Relation Classification,13510,10,41,3,3,2663,3036,cross_model_core,length_1,cross_model_core
1809.02494,train,Meteorologists and Students: A resource for language grounding of geographical descriptors,10915,8,24,1,1,2220,2568,cross_model_core,length_1,cross_model_core
1809.08298,train,How do you correct run-on sentences it's not as easy as it seems,8754,9,19,2,1,1820,2181,cross_model_core,length_1,cross_model_core
1810.03459,train,"Multilingual sequence-to-sequence speech recognition: architecture, transfer learning, and language modeling",15313,11,35,4,3,3172,3713,cross_model_core,length_1,cross_model_core
1811.00854,train,Improving Information Retrieval Results for Persian Documents using FarsNet,10254,6,49,2,2,2354,2507,cross_model_core,length_1,cross_model_core
1812.10860,train,Can You Tell Me How to Get Past Sesame Street? Sentence-Level Pretraining Beyond Language Modeling,15937,10,29,1,1,3161,3733,cross_model_core,length_1,cross_model_core
1901.09381,test,Dual Co-Matching Network for Multi-choice Reading Comprehension,11497,8,27,2,1,2712,3504,cross_model_core,length_1,cross_model_core
1903.09588,train,Utilizing BERT for Aspect-Based Sentiment Analysis via Constructing Auxiliary Sentence,15395,13,48,2,2,3472,3859,cross_model_core,length_1,cross_model_core
1903.09722,validation,Pre-trained Language Model Representations for Language Generation,13308,11,23,4,4,2799,3261,cross_model_core,length_1,cross_model_core
1904.07342,train,Learning Twitter User Sentiments on Climate Change with Limited Labeled Data,13161,6,16,5,5,2670,3120,cross_model_core,length_1,cross_model_core
1904.11942,train,Contextualized Word Embeddings Enhanced Event Temporal Relation Extraction for Story Understanding,11838,11,27,5,4,2379,2769,cross_model_core,length_1,cross_model_core
1906.01946,train,Automated Speech Generation from UN General Assembly Statements: Mapping Risks in AI Generated Texts,18211,9,34,1,1,3421,3942,cross_model_core,length_1,cross_model_core
1906.08286,train,Incorporating Priors with Feature Attribution on Text Classification,13314,9,30,1,1,2561,3078,cross_model_core,length_1,cross_model_core
1906.08593,validation,Conflict as an Inverse of Attention in Sequence Relationship,17125,16,47,3,2,3349,3868,cross_model_core,length_1,cross_model_core
1907.02030,train,Real-time Claim Detection from News Articles and Retrieval of Semantically-Similar Factchecks,16820,7,28,5,3,3229,3803,cross_model_core,length_1,cross_model_core
1907.04433,validation,GluonCV and GluonNLP: Deep Learning in Computer Vision and Natural Language Processing,8533,9,15,1,1,1798,2093,cross_model_core,length_1,cross_model_core
1907.09369,validation,Emotion Detection in Text: Focusing on Latent Representation,16202,9,31,5,4,3319,3794,cross_model_core,length_1,cross_model_core
1908.05803,test,Quoref: A Reading Comprehension Dataset with Questions Requiring Coreferential Reasoning,8365,10,13,2,2,1645,1889,cross_model_core,length_1,cross_model_core
1908.08788,test,Improving Few-shot Text Classification via Pretrained Language Representations.,15821,12,24,3,2,3119,3680,cross_model_core,length_1,cross_model_core
1909.02265,train,Towards Task-Oriented Dialogue in Mixed Domains,17494,12,41,4,4,3468,4009,cross_model_core,length_1,cross_model_core
1909.06434,train,Adaptive Scheduling for Multi-Task Learning,15560,13,32,4,4,3176,3805,cross_model_core,length_1,cross_model_core
1909.06502,test,Multi-class Multilingual Classification of Wikipedia Articles Using Extended Named Entity Tag Set,13998,10,32,2,1,2795,3192,cross_model_core,length_1,cross_model_core
1909.06708,test,Hint-Based Training for Non-Autoregressive Machine Translation,14906,12,32,5,4,3364,3892,cross_model_core,length_1,cross_model_core
1909.11980,test,Spoken Conversational Search for General Knowledge,11002,19,31,3,3,2150,2517,cross_model_core,length_1,cross_model_core
1910.04006,train,Assessing the Efficacy of Clinical Sentiment Analysis and Topic Extraction in Psychiatric Readmission Risk Prediction,13685,9,34,5,5,2691,3036,cross_model_core,length_1,cross_model_core
